Zip Code,Territory,Color
83835,Territory A,Red
83837,Territory A,Red
83839,Territory A,Red
83842,Territory A,Red
83843,Territory A,Red
83844,Territory A,Red
83847,Territory A,Red
83850,Territory A,Red
83851,Territory A,Red
83852,Territory A,Red
83854,Territory A,Red
83855,Territory A,Red
83856,Territory A,Red
83857,Territory A,Red
83858,Territory A,Red
83860,Territory A,Red
83861,Territory A,Red
83864,Territory A,Red
83868,Territory A,Red
83869,Territory A,Red
83870,Territory A,Red
83872,Territory A,Red
83876,Territory A,Red
83877,Territory A,Red
84003,Territory A,Red
84004,Territory A,Red
84005,Territory A,Red
84006,Territory A,Red
84009,Territory A,Red
84010,Territory A,Red
84014,Territory A,Red
84015,Territory A,Red
84016,Territory A,Red
84017,Territory A,Red
84020,Territory A,Red
84025,Territory A,Red
84029,Territory A,Red
84032,Territory A,Red
84037,Territory A,Red
84040,Territory A,Red
84041,Territory A,Red
84042,Territory A,Red
84043,Territory A,Red
84044,Territory A,Red
84045,Territory A,Red
84047,Territory A,Red
84049,Territory A,Red
84050,Territory A,Red
84054,Territory A,Red
84055,Territory A,Red
84056,Territory A,Red
84057,Territory A,Red
84058,Territory A,Red
84059,Territory A,Red
84060,Territory A,Red
84061,Territory A,Red
84062,Territory A,Red
84065,Territory A,Red
84067,Territory A,Red
84070,Territory A,Red
84074,Territory A,Red
84075,Territory A,Red
84081,Territory A,Red
84082,Territory A,Red
84084,Territory A,Red
84087,Territory A,Red
84088,Territory A,Red
84092,Territory A,Red
84093,Territory A,Red
84094,Territory A,Red
84095,Territory A,Red
84096,Territory A,Red
84097,Territory A,Red
84098,Territory A,Red
84101,Territory A,Red
84102,Territory A,Red
84103,Territory A,Red
84104,Territory A,Red
84105,Territory A,Red
84106,Territory A,Red
84107,Territory A,Red
84108,Territory A,Red
84109,Territory A,Red
84111,Territory A,Red
84112,Territory A,Red
84113,Territory A,Red
84114,Territory A,Red
84115,Territory A,Red
84116,Territory A,Red
84117,Territory A,Red
84118,Territory A,Red
84119,Territory A,Red
84120,Territory A,Red
84121,Territory A,Red
84122,Territory A,Red
84123,Territory A,Red
84124,Territory A,Red
84128,Territory A,Red
84129,Territory A,Red
84132,Territory A,Red
84133,Territory A,Red
84134,Territory A,Red
84138,Territory A,Red
84139,Territory A,Red
84141,Territory A,Red
84143,Territory A,Red
84148,Territory A,Red
84150,Territory A,Red
84180,Territory A,Red
84184,Territory A,Red
84190,Territory A,Red
84199,Territory A,Red
